Campus Hubs,bookmark,URL,Address,Description,Logo,Featured Text,Featured Link,Impact,Director Name (new),Other Point of Contact Name (new),Featured Photo,geometry,school_official,funding
Mills Legal Clinic: Community Law Clinic,mills_community,https://law.stanford.edu/community-law-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","The Community Law Clinic (CLC) is Stanford’s neighborhood legal services office. Located on the east side of Palo Alto, CLC is proximate to the low-income neighborhoods of the mid-peninsula region where Stanford is located. CLC is fundamentally a direct services, trial practice clinic. Under the supervision of the clinic instructors, students represent clients in housing, social security disability, and criminal record expungement matters.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"The Community Law Clinic works in three primary areas of Housing Practice, Expungement Practice, and SSI Practice. Read more about the Clinic's cases and projects.",https://law.stanford.edu/community-law-clinic/#slsnav-our-work,"Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/juliet-brodie' target='_blank'>Juliet Brodie</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Immigration Policy Lab ,ipl,https://immigrationlab.org/,"559 Nathan Abbott Way, Stanford, CA 94305","A staggering 70 million people worldwide have been displaced by violence or persecution. Immigration issues have roiled U.S. politics and upended the European Union. In these hot spots and beyond, policymakers have little trustworthy research to guide them, and public opinion is easily clouded by misinformation and partisanship. These challenges can seem insurmountable. But there’s no reason why immigration policy can’t benefit from the same kind of ingenuity that has brought us dramatic medical advances and game-changing technology—and it’s long overdue.",https://dl.airtable.com/.attachments/d0d9e8f22411b9ba3ef20c4184262fc6/d0b8ddf5/ImmigrationPolicyLab.png,See IPL's impact through this list of features.,https://immigrationlab.org/category/features/,"Global, Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/jens-hainmueller' target='_blank'>Jens Hainmueller</a>,Duncan Lawrence  (duncan.lawrence@stanford.edu),NA,POINT (-122.1677 37.42394),School of Humanities & Sciences,
Urban Studies ,urban,https://urbanstudies.stanford.edu/,"450 Jane Stanford Way, Building 120, Stanford, CA 94305","Cities are now home to more than half of humanity. The mission of the undergraduate program in Urban Studies is to develop students' understanding of the nature of cities and their impact on our world. The dynamic and complex nature of cities challenges traditional disciplinary boundaries, so our program is interdisciplinary in nature, drawing from fields in the social sciences, history, and education. Courses in the program focus on issues in contemporary urban society, and on the forces and practices that shape urban life. Courses also address how cities have changed over time and how they continue to change today in societies around the world. Through a comprehensive program that includes course work, community engagement, and independent research, a major in Urban Studies prepares students for careers and graduate study in fields including architecture, business, community service, education, environmental planning, law, public policy, real estate development, urban design, and urban planning.  It also prepares students to be critical thinkers, engaged citizens, and informed leaders who can help to transform cities for the better. ",https://dl.airtable.com/.attachments/35024c8e3316da768cb89b07e2edc5fe/32215ca6/UrbanStudies.png,Community engaged learning enables students to apply what they learn in the classroom to a real-world urban challenge by integrating academic coursework with public service. Photo credit: Deland Chan - Students of URBANST 102 at Stanford in Beijing. ,https://urbanstudies.stanford.edu/academics/community-engaged-learning,"Identity & Human Rights, Environment and Sustainability",<a href = 'https://profiles.stanford.edu/tomas-jimenez' target='_blank'>Tomas Jimenez</a>,Michael Kahan (mkahan@stanford.edu),https://dl.airtable.com/.attachments/39534f5f09b0ff7611065a94080752ed/d8b49e0c/urbanstudiesstudents.png,POINT (-122.1694 37.42835),School of Humanities & Sciences,
Stanford Project on Adaptation and Resilience in Kids,spark,https://sparklab.stanford.edu/,"520 Galvez Mall, Stanford, CA 94305","The SPARK Lab engages in research-practice partnerships with school districts and community organizations to identify how families, teachers, and educational programs can support children’s well-being, learning, and relationships. Since 2012, Dr. Obradovic has worked closely with San Francisco Unified School District (SFUSD) to study how classroom experiences promote development of self-regulation, cognitive, and social-emotional skills. More recently, the SPARK Lab’s collaboration with the SFUSD Early Education Department has focused on examining how children's preschool experiences are related to academic and social-emotional learning through grade 5. This work is also focusing on improving and evaluating classroom supports for social-emotional learning in preschool. The SPARK Lab has also partnered with the Boys & Girls Clubs of America to examine impacts of their afterschool programs. 

Our research-practice partnership work addresses questions with direct relevance for our education partners, while advancing our scientific knowledge of relevant processes. This work has been supported by the Stanford/SFUSD Partnership, the William T. Grant Foundation, and the Spencer Foundation.
",https://dl.airtable.com/.attachments/5cfb0294e153b097793d5c38a94dadba/53fb87a1/Logo_SPARKlab_WebUse_red.svg,Stanford GSE Associate Professor Jelena Obradović shares tips for caregivers of elementary school students as distance learning continues.,https://ed.stanford.edu/news/supporting-distance-learning-home,Education,<a href = 'https://profiles.stanford.edu/jelena-obradovic' target='_blank'>Jelena Obradovi</a>,Michael Sulik (mjsulik@stanford.edu),NA,POINT (-122.167 37.42462),Graduate School of Education,
Re-Inventing the Nation's Urban Water Infrastructure (ReNUWIt),renuwit,http://renuwit.org/,"473 Via Ortega Drive, Y2E2, Stanford, CA 94305","ReNUWIt is the National Science Foundation (NSF) funded Engineering Research Center (ERC) for Re-inventing the Nation’s urban Water Infrastructure. Launched in 2011, ReNUWIt is the first ERC dedicated to civil infrastructure and water systems. ReNUWIt encompasses a diverse team of researchers who collaborate with entrepreneurs and practitioners on innovative solutions for urban water infrastructure challenges.",https://dl.airtable.com/.attachments/b868ce478e3967a31795a89430215160/42bead47/Re-InventingtheNationsUrbanWaterInfrastructureReNUWIt.jpg,"Nov. 2021 Project Spotlight - Direct potable reuse (DPR) of reclaimed water is one of a few tools available to communities to increase water supplies with existing water resources and water rights, especially in times of prolonged droughts, population growth, and loss of water sources due to contamination. With support from many institutes, organizations, and industries, the E3.7 project team fabricated a system that can demonstrate DPR to small and large communities, throughout the year, and with minimal O&M.",http://renuwit.org/highlights/project-spotlights/,Environment and Sustainability,<a href = 'https://profiles.stanford.edu/richard-luthy' target='_blank'>Richard Luthy</a>,NA,https://dl.airtable.com/.attachments/0ca0f4a030b90d3750bddd3ab0af2d69/98c60904/DPRonwheels.png,POINT (-122.1759 37.42832),School of Engineering,
Iris and B. Gerald Cantor Center for the Visual Arts ,cantor,https://museum.stanford.edu/,"328 Lomita Drive, Stanford, CA 94305","Serving the Stanford campus, the Bay Area community, and visitors from around the world, the Cantor Arts Center provides an outstanding cultural experience for visitors of all ages. Founded when the university opened in 1891, the historic museum was expanded and renamed in 1999 for lead donors Iris and B. Gerald Cantor. The Cantor’s collection spans 5,000 years and includes more than 38,000 works of art from around the globe. These include our renowned collection of Rodin bronze sculptures, which are displayed inside the museum as well as in our outdoor Rodin Sculpture Garden. With 24 galleries and more than 15 special exhibitions each year, the Cantor is an established resource for teaching and research on campus. Free admission, tours, lectures, and family activities make the Cantor one of the most visited university art museums in the country.",https://dl.airtable.com/.attachments/ed74c1497ef0507addf7862088ee8678/d58bb93f/CantorArtsCenter.png,"Cantor educators work with instructors to design customized class visits. We place an emphasis on sustained close-looking, open-ended interdisciplinary inquiry, and active learning. During class visits, students develop their visual literacy, practice observational and oral communication skills, solve problems, and think critically and creatively.",https://museum.stanford.edu/students-faculty/faculty-support/class-visits,"Recreation and Culture, Arts & Humanities",Maude Brezinski,Anne Marion Shulock (ashulock@stanford.edu),NA,POINT (-122.1705 37.43312),Vice President for the Arts,
Stanford Humanities Center,humanities,http://shc.stanford.edu/,"424 Santa Teresa Street, Stanford, CA 94305","The Stanford Humanities Center confronts this moment in history and culture with insights into the questions that define our world.
The humanities—philosophy, history, literature, art history, classics, music, and religion, among others—investigate ideas and culture, as the sciences and the social sciences demonstrate other ways of thinking about the world. These core disciplines enjoy long histories as foundations of knowledge, while newer, interdisciplinary fields such as the study of race, gender, or performance afford their distinctive insights. As a Center we promote provocative discussions, the exchange of ideas across languages and cultures, and continual, rigorous reflection on how knowledge is made.
 
The Center sponsors advanced research in the humanities and the interpretive social sciences by investing in experiences—fellowships, workshops, lectures, and other events—that enrich research in and across the disciplines. Through a partnership with the renowned Center for Spatial and Textual Analysis (CESTA), the Humanities Center embraces emerging digital methods to complement traditional kinds of analysis and interpretation. Together, the Stanford Humanities Center and CESTA serve as the hub of an international network of fellows, visiting scholars, students, and alumni.",https://dl.airtable.com/.attachments/12e934a930ce58580e2d161f2eb16a2d/949df0a8/StanfordHumanitiesCenter.png,2021-2022 Fellow Laura J. Martin Weighs in on Biden's Conservation Plan,https://slate.com/technology/2021/05/30-by-30-biden-conservation-plan-department-interior.html,Arts & Humanities,<a href = 'https://profiles.stanford.edu/roland-greene' target='_blank'>Roland Greene</a>,Andrea Davies  (ardavies@stanford.edu),NA,POINT (-122.172 37.42485),Dean of Research,
Codiga Resource Recovery Center,codiga,https://cr2c.stanford.edu/,"692 Pampas Lane, Stanford, CA 94305","The William and Cloy Codiga Resource Recovery Center (CR2C) is a groundbreaking facility dedicated to accelerating the deployment and adoption of water and energy resource recovery systems. The CR2C facility, located on the Stanford campus near the Land, Buildings & Real Estate offices (LBRE), enables pilot testing of promising technologies for the recovery of resources (clean water, nutrients, energy, renewable materials) from wastes. We partner with Stanford researchers and groups from outside the university to move promising new technologies beyond the lab onward to impact.",https://dl.airtable.com/.attachments/a8cc90cb631804beb65bdf30df583827/05b388d9/CodigaPositive.png,Stanford's Codiga Resource Recovery Center's opening in May 2016.,https://news.stanford.edu/2016/04/04/codiga-recovery-center-040416/,Environment and Sustainability,<a href = 'https://profiles.stanford.edu/craig-criddle' target='_blank'>Craig Criddle</a>,Sebastien Tilmans (stilmans@stanford.edu),NA,POINT (-122.1562 37.42891),School of Engineering,
Center for Ocean Solutions ,ocean,https://oceansolutions.stanford.edu/,"473 Via Ortega Drive, Y2E2, Stanford, CA 94305","The Stanford Center for Ocean Solutions catalyzes research, innovation and action to improve the health of the oceans for the people who depend on them most.

Over 300 million people around the world depend on the oceans for their livelihoods, and over three billion people rely on oceans for food security. But oceans are in an era of upheaval, propelled by climate change, overfishing, coastal development, pollution and other stresses. The Stanford Center for Ocean Solutions (COS) is creating the innovations needed to sustain ocean health in the face of these threats – translating insights from research into solutions at scale for oceans and people.  ",https://dl.airtable.com/.attachments/14dfd5b141abf1be61cc5345318a27da/40d232e3/CenterforOceanSolutions.jpg,"Current Initiatives - We capitalize on Stanford's deep expertise in ocean science and in the main other disciplines crucial to solving ocean problems including engineering, computer science, political science, design and business. ",https://oceansolutions.stanford.edu/key-initiatives/current-initiatives,Environment and Sustainability,"<a href = 'https://profiles.stanford.edu/james-leape' target='_blank'>James Leape</a>, <a href = 'https://profiles.stanford.edu/fiorenza-micheli' target='_blank'>Fiorenza Micheli</a>",NA,NA,POINT (-122.1759 37.42832),Dean of Research,
The Institute for Diversity in the Arts ,ida,https://diversityarts.stanford.edu,"561 Lomita Drive, Stanford, CA 94305","The Institute for Diversity in the Arts (IDA) is a student-facing and serving organization at Stanford University. IDA trains and supports undergraduates in visionary arts leadership through stewarding the power of the arts toward social justice. We believe that the arts are a powerful means for empowering difference, dismantling oppression, and building more sustainable futures.

We are a place for many: black, indigenous, students of color; queer, trans, gender diverse students; women; disabled students; first-generation students; students from low-income backgrounds; artists and community members; on campus and off.",https://dl.airtable.com/.attachments/2db9fd9fd6012e2f254eebf77d090a1a/5133680e/TheInstituteforDiversityintheArts.png,"With support from the Office of Community Engagement, the Institute for Diversity in the Arts have been collaborating with the EPACENTER to connect East Palo Alto youth to emerging creative practices and tools through student-to-student residencies, internships and contributions to teacher training.",https://news.stanford.edu/2021/05/19/stanford-funds-community-projects-address-pandemic-challenges/,"Arts & Humanities, Identity & Human Rights, Recreation and Culture",,A-lan Holt (aholt@stanford.edu),NA,POINT (-122.1731 37.42431),Vice President for the Arts,2021
Hopkins Marine Station ,hopkins,http://hopkinsmarinestation.stanford.edu/,"120 Ocean View Blvd, Pacific Grove, CA 93950","Hopkins Marine Station was established in 1892. It occupies 11 acres on the shore of Monterey Bay in Pacific Grove, California, 90 miles south of Stanford University. Hopkins’ location on the edge of the Pacific Ocean has facilitated an extraordinary legacy of marine research and education. Hopkins continues to conduct cutting-edge research and provide rigorous academic training for students. Hopkins maintains an active outreach and public engagement program. To cite just a few examples, Squids4Kids, a program initiated and run by Dr. Bill Gilly, sends squids to K-12 classes around the country with instructions on how to dissect the animals and how that dissection can lead students to think more broadly about the entire ocean. So far, the program has reached more than 50,000 students. Hopkins' faculty and students collaborate with high-school and middle school teachers and students in the Monterey Bay area in curricula development and hands-on research activities. The station hosts an annual open house to showcase and explain Hopkins’ research to the local community, with over 1,000 adults and kids attending every year, and provides over 40 tours per year to educational groups. The Friends of Hopkins reaches several hundred local residents per year by hosting evening science lectures that are open to the general public. Stanford Center for Ocean Solutions, based on both main campus and Hopkins, has communication specialists on staff who disseminate ocean research insights and news through the COS website and social media. ",https://dl.airtable.com/.attachments/afaeb36806cc45daaa0c5e9822218719/79403d1c/HopkinsMarineStation.png,"Hopkins Marine Station hosts a variety of efforts designed to explain marine biology to the public, and to encourage young students to explore science. Check out the possibilities!",https://hopkinsmarinestation.stanford.edu/outreach/outreach-overview,"Environment and Sustainability, Health, Education, Equity or Socioeconomic Issues","<a href = 'https://profiles.stanford.edu/fiorenza-micheli' target='_blank'>Fiorenza Micheli</a>, <a href = 'https://profiles.stanford.edu/jeremy-goldbogen' target='_blank'>Jeremy Goldbogen</a>","Judy Thompson (judyt@stanford.edu), Abby McConnell (abbymc@stanford.edu)",NA,POINT (-121.9042 36.62037),School of Humanities & Sciences,
Stanford Prevention Research Center,sprc,https://prevention.stanford.edu/,"Stanford Prevention Research Center,
Stanford University, School of Medicine,
1070 Arastradero Road, Suite 100, Palo Alto, CA 94304-1334","The Stanford Prevention Research Center (SPRC) is a consortium of renowned experts who are world leaders in investigating ways to prevent disease and promote health. Their work is focused on identifying the most practical, science-based solutions for addressing some of society’s most pervasive—and preventable—health issues, such as obesity, diabetes, hypertension, and other chronic conditions and to raise the standards of scientific investigation that matters for health. SPRC investigators are collaborating on numerous, long-term projects designed to translate research into effective ways to promote well-being at every stage of life.",https://dl.airtable.com/.attachments/f1a40e2dcd8759676dbf18e9b91db007/d65085b5/StanfordPreventionResearchCenter.png,Contemplation by Design - Leveraging the “Power of the Pause” on a Large University Campus Through Built and Social Environments,https://www.frontiersin.org/articles/10.3389/fpubh.2020.00031/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Public_Health&id=510898,Health,David Maron,Judith Prochaska (jpro@stanford.edu),NA,POINT (-122.1792 37.43184),Stanford Medicine,
Genetics,genetics,https://med.stanford.edu/genetics/tech.html,"300 Pasteur Drive, Stanford, CA 94305","Stanford at The Tech is a partnership between The Tech and Stanford University's Department of Genetics. The program offers exciting genetics education both in-person at The Tech Interactive in Silicon Valley and online nationally. The program enables Stanford graduate students and postdoctoral fellows to strengthen skills in communicating science to the public, inspires The Tech’s young visitors to see themselves as future scientists and innovators, and improves genetics literacy in all ages.",https://dl.airtable.com/.attachments/5d42aaa0adf3be67c34995c3efdc45f8/5a42e5e6/GeneticsDept.png,"Since 2002, the Genetics Department has partnered with The Tech Interactive (The Tech) to run a suite of public outreach programs designed to educate, excite, and inform the general public about genetics and science. Every year, 12-16 program participants facilitate hands-on experiences for thousands of museum visitors, write articles for a website that reaches millions worldwide, receive training in science communication, and learn about alternative career paths.",https://med.stanford.edu/genetics/tech.html,"Education, Health",<a href = 'https://profiles.stanford.edu/michael-snyder' target='_blank'>Michael Snyder Ph D</a>,"Abbey Thompson (athompson@thetech.org), Randy Soares  (randy.soares@stanford.edu)",https://dl.airtable.com/.attachments/95c3f0c18976e9a6617e734dfdf7494b/0abc3c0e/ForensicGenetics.jpg,POINT (-122.1751 37.43324),Stanford Medicine,
Archaeology Center,archaeology,https://archaeology.stanford.edu/,"488 Escondido Mall, Building 500, Stanford, CA 94305",The Stanford Archaeology Center is an interdisciplinary hub focused on innovative research and education in archaeology and heritage.,https://dl.airtable.com/.attachments/809f196e6a318794a215ae8d04eaa217/fa99f6e5/ArchaeologyCenter.png,"The Stanford Archaeology Center’s outreach program is an opportunity to bring interactive archaeology learning into local classrooms! Each year, the Stanford Archaeology Center graduate students partner with local schools to bring a dynamic, creative, and hands-on program to their students. With COVID-19, we have made some changes to our program, but we are still pleased to offer virtual learning experiences for your classroom. ",https://archaeology.stanford.edu/outreach/school-outreach-program,"Identity & Human Rights, Arts & Humanities",<a href = 'https://profiles.stanford.edu/barbara-voss' target='_blank'>Barbara Voss</a>,Laura Jones (ljones@stanford.edu),NA,POINT (-122.1694 37.42599),School of Humanities & Sciences,
Stanford Impact Labs ,sil,https://fsi.stanford.edu/impact,"616 Jane Stanford Way, Stanford, CA 94305-6055","Stanford Impact Labs enables teams of scholars to work in partnership with leaders from public, social, and private sectors to tackle social problems using human creativity, rigorous evidence, and innovative technology. We advance this mission by catalyzing rigorous, problem-focused research and training on social problems with the goal of achieving broad public impact. We call the teams that do this work “impact labs.” Our vision is to accelerate the impact of higher education in solving our most challenging social problems by reshaping how research and development is done in the social sciences.

We are a new university model that invests and sustains research-practice partnerships with funding, professional support, and a relentless focus on public impact. We flip the traditional idea of a public policy school on its head. Rather than bring policy problems to campus, we prepare, fund, and support teams of scholars to embed themselves with and work in close partnership with governments, philanthropies, companies, and nonprofits to generate evidence and insights that can be put into practice.",https://dl.airtable.com/.attachments/0c68a9dae10ad166d63b3a39ce6b5550/df132f04/StanfordImpactLabs.png,"Improving Oakland Police Tactics with Data on Traffic Stops, Arrests, and Race",https://drive.google.com/file/d/17D4fzSO_kyvt8Yud6bx_cXZc61-dUFPi/view?usp=sharing,Equity or Socioeconomic Issues,<a href = 'https://profiles.stanford.edu/jeremy-weinstein' target='_blank'>Jeremy Weinstein</a>,Karli Ann Stander (stander@stanford.edu),NA,POINT (-122.1646 37.4274),School of Humanities & Sciences,"2021, 2022"
Center for Latin American Studies,latinam,https://clas.stanford.edu/,"615 Crothers Way, Encina Commons, Stanford, CA 94305","The Center for Latin American Studies (CLAS) at Stanford University is a U.S. Department of Education Title VI National Resource Center for Latin America committed to outreach to the scholarly community in California and the United States. CLAS is an academic community that supports research and teaching in all fields of study as they relate to Latin America and the Caribbean. 

CLAS' mission is to foster an academic community that serves as a multidisciplinary platform to enable learning from and engaging with the Americas, understood as the diverse ethnic, linguistic, cultural, biological and historical geography shared with the United States and Canada.

CLAS is committed to promoting ""the public welfare by exercising an influence on behalf of humanity and civilization” (Stanford University founding grant) and advancing scientific knowledge that strengthens social, economic and environmental justice, sustainability, inclusion and democracy in our hemisphere.",https://dl.airtable.com/.attachments/a8bc6dfc1195a65b1f2d3d37e0564acb/5240f9db/CenterforLatinAmericanStudies.png,CLAS provides professional development opportunities for educators around the world,https://clas.stanford.edu/outreach/professional-development-opportunities,"Global, Education",<a href = 'https://profiles.stanford.edu/alberto-diaz-cayeros' target='_blank'>Alberto Diaz Cayeros</a>,Molly Aufdermauer (mollyauf@stanford.edu),NA,POINT (-122.1648 37.42683),School of Humanities & Sciences,
Wu Tsai Neurosciences Institute ,wutsai,https://neuroscience.stanford.edu/,"290 Jane Stanford Way, Room E152","The Wu Tsai Neurosciences Institute is dedicated to understanding how the brain gives rise to mental life and behavior, both in health and in disease. Our research community draws from and informs multiple disciplines, including neuroscience, medicine, engineering, psychology, education and law. The discoveries that arise from these collaborations will transform our understanding of the human brain, provide novel treatments for brain disorders, and promote brain health throughout the lifespan.",https://dl.airtable.com/.attachments/83546ebad23dd5812e93992083084c24/f2e7b221/WuTsailogotransparent.png,Our NeURO-CC pilot program partners with local community colleges to support BIPOC trainees to do neuroscience research at Stanford.,https://neuroscience.stanford.edu/research/training/undergrad-research/neuro-community-college-program,"Education, Health, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/william-newsome' target='_blank'>William Newsome</a>,"Tanya Raschke (raschke@stanford.edu), Jill Saylin Wentzell (wentzell@stanford.edu), Zulema L Garibo Gonzalez (zgaribo@stanford.edu)",https://dl.airtable.com/.attachments/5213b4954540043192008b06e3b672d9/7542dd05/20210730_Organismal_Biology_N6A5841.jpg,POINT (-122.1762 37.4302),Dean of Research,2022
Office of Child Health Equity,childhealth,https://med.stanford.edu/childhealthequity.html,"453 Quarry Rd, Palo Alto, CA 94304","The Office of Child Health Equity (OCHE) strives to transform the Department of Pediatrics into a force for equity and justice for mothers, children and families. In doing so it provides a unique roadmap, articulating how to advance a comprehensive pediatric commitment to new models of impact beyond the clinic and hospital walls. 

The pandemic has exposed widening inequities in child and family health. In response, the Stanford Department of Pediatrics has both initiated new programs and strengthened extant efforts to address this fundamental challenge. The Office of Child Health Equity would unify these varied efforts and build out into bold new directions, providing essential academic infrastructure to sustain our nationally recognized continued commitment to health equity and social justice.

The OCHE integrates three arenas of departmental action: 1) Policy participation; 2) Community engagement; and 3) Equity-oriented research.",https://dl.airtable.com/.attachments/3a813b175cdc63d5b20638ae14d36480/72cd6e3f/OfficeofChildHealthEquity.png,"The Child Health Equity Team partners with four mid-Penninsula pediatric clinics (Gardner/Packard, Fair Oaks County Clinic, Mayview Community Clinic, and Ravenswood Family Health Center) to address issues within early education. We strive to increase low-income children's access to books, enrich clinical environments with educational support tools, and supplement school readiness interventions.",https://med.stanford.edu/childhealthequity/engagement/earlyeducation.html,Health,<a href = 'https://profiles.stanford.edu/lisa-chamberlain' target='_blank'>Lisa J Chamberlain</a>,"Janine Bruce (jsbruce@stanford.edu), Adrienne Lazaro (aslazaro@stanford.edu)",NA,POINT (-122.1718 37.437),Stanford Medicine,
Vice Provost for Graduate Education,vpge,https://vpge.stanford.edu/,"450 Jane Stanford Way, Building 310, Stanford University, Stanford, CA 94305-2028","VPGE partners with Bay Area colleges and universities to provide opportunities for Stanford doctoral students and postdoctoral scholars to learn directly about faculty life at diverse institutions. VPGE's new RAISE (Research, Action, and Impact through Strategic Engagement) Doctoral Fellowship Program also provides students with opportunities to engage in public service and social impact projects with partners in their communities and around the world.",https://dl.airtable.com/.attachments/8a2d248072b65b6ee2c3afc693980305/72012cc3/VPGE.png,"Preparing Future Professors Program - doctoral students and postdoctoral scholars experience faculty life first-hand by shadowing and being mentored by a faculty member at San Jose State University, Foothill College, Menlo College, West Valley College, San Francisco State University, or University of San Francisco.",https://vpge.stanford.edu/events/programs/preparing-future-professors,"Education, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/stacey-bent' target='_blank'>Stacey Bent</a>,"Anika Green (agreen1@stanford.edu), Blanca Virrey (bevirrey@stanford.edu), Joanne Tien (tienj@stanford.edu)",NA,POINT (-122.1697 37.42743),Vice Provost for Graduate Education,
Future Bay Initiative,futurebay,http://bay.stanford.edu/,"397 Panama Mall, Stanford, CA 94305","The Stanford Future Bay Initiative is a Research-Education-Practice Partnership committed to co-production of actionable intelligence with our local Bay Area communities, in order to shape a more equitable, resilient, and sustainable urban future.",https://dl.airtable.com/.attachments/1effb14545084ce66724044ec6822ad6/832b30ef/FutureBayLogo.png,"Communities Know Best: Climate Solutions in The South Bay Start With Listening (Jun 21, 2021)",https://www.kqed.org/science/1975422/communities-know-best-climate-solutions-in-the-south-bay-start-with-listening,"Environment and Sustainability, Health, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/jenny-suckale' target='_blank'>Jenny Suckale</a>,"Derek Ouyang (douyang1@law.stanford.edu), Amy Balsom (amyb@stanford.edu), Rosemary Knight (rknight@stanford.edu), Luke Terra (lterra@stanford.edu)",https://ww2.kqed.org/app/uploads/sites/35/2021/06/RS49272_027_NorthFairOaks_ClimateListening_05102021-qut-1020x680.jpg,POINT (-122.1722 37.42655),"School of Earth, Energy & Environmental Sciences",2022
Freeman Spogli Institute: Health Policy,fsi,https://healthpolicy.fsi.stanford.edu/,"616 Jane Stanford Way, Stanford, CA 94305-6055","Stanford Health Policy is comprised of research groups within the Freeman Spogli Institute for International Studies (FSI) and the Stanford University School of Medicine. FSI is a university-wide research and education institution at Stanford devoted to understanding the problems, policies, and processes that cross international borders and affect lives around the world. The School of Medicine (SOM) has long been a leader in biomedical innovation, research, and health care. Our affiliation with both FSI and the SOM provides access to a wide range of researchers who span the social sciences, engineering, and medicine — from pediatrics to geriatrics, law, economics and decision science.",https://dl.airtable.com/.attachments/03e94c7c04040aeeb353e8a4a4d2f974/536e49db/FreemanSpogliInstitute-HealthPolicy.png,"The Stanford-CIDE Coronavirus Simulation Model modeling framework is run by Stanford Health Policy, one of FSI's eight research centers, which models the epidemiology of COVID-19 for diverse populations and geographies. The center has partnered with the state of California and the California Department of Corrections and Rehabilitation, and states in Mexico.
",https://healthpolicy.fsi.stanford.edu/news/tackling-covid-19-among-prison-populations-california-and-beyond,Health,<a href = 'https://profiles.stanford.edu/douglas-owens' target='_blank'>Doug Owens</a>,NA,https://dl.airtable.com/.attachments/9c1b0b36bec1cfea9e0438b51328307e/ebe8073a/gettyimages-covid-prisons.jpg,POINT (-122.1646 37.4274),"Dean of Research, Stanford Medicine",
"The Martin Luther King, Jr., Research and Education Institute",mlk,https://kinginstitute.stanford.edu/,"466 Via Ortega Drive, Cypress Hall D, Stanford, CA 94305","Building upon the achievements of Stanford University's Martin Luther King, Jr. Papers Project, the King Institute supports a broad range of educational activities illuminating Dr. King's life and the movements he inspired.",https://dl.airtable.com/.attachments/59a62c25e9c6d7d3e8b07fbe73c6ddba/54a973c3/MLKJrInstitute.png,"Lerone A. Martin on what we know—and don’t know—about Martin Luther King, Jr. and why access to information about him is more important than ever.",https://kinginstitute.stanford.edu/news/lerone-martin-conversation-new-faculty-director-stanford-s-martin-luther-king-jr-research-and,"Identity & Human Rights, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/lerone-martin' target='_blank'>Lerone Martin</a>,Truman Chen (trumanwc@stanford.edu),NA,POINT (-122.1767 37.42879),School of Humanities & Sciences,
TomKat Center for Sustainable Energy ,tomkat,https://tomkat.stanford.edu/,"443 Via Ortega Drive, Suite 377, Stanford, CA 94305","TomKat Center empowers students, researchers, and innovators to develop and externalize impactful solutions in energy and sustainability.",https://dl.airtable.com/.attachments/fec06570416dadb7d641cfd8ac693e1c/c9c4dee3/tomkat.jpg,Stanford students on the cutting edge of the new energy future,https://tomkat.stanford.edu/news/stanford-students-cutting-edge-new-energy-future,Environment and Sustainability,<a href = 'https://profiles.stanford.edu/matthew-kanan' target='_blank'>Matthew Kanan</a>,Danica Sarlya (dsarlya@stanford.edu),https://dl.airtable.com/.attachments/e815a3a6c4f1da86744c72fbd328ef6c/b3bcecbb/mollyvorpal_2015_0_0.jpg,POINT (-122.1755 37.42917),Dean of Research,
Mills Legal Clinic: Criminal Defense Clinic,mills_defence,https://law.stanford.edu/criminal-defense-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","Students in the Criminal Defense Clinic represent indigent persons accused of crimes in the courts of Santa Clara and San Mateo County. The cases encompass a wide range of misdemeanor offenses, such as drug use and possession, assault, and theft.

Under the supervision of Professor Ronald Tyler and Lecturer Suzanne Luban, clinic students represent clients at all stages of criminal proceedings, including investigation, interviewing witnesses, plea negotiations, working with experts, suppression motions, and trials. The members of the Criminal Defense Clinic recognize that being accused of a crime is a difficult circumstance for individuals and their loved ones. At every stage of a case, the clinic’s goal is to provide zealous, client-centered representation.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,Read more about the CDC's work featured on the Mills Legal Clinic blog.,https://law.stanford.edu/criminal-defense-clinic/#slsnav-cdc-blog,"Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/ronald-tyler' target='_blank'>Ronald Tyler</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
